utc_timestamp,DE_LU_price_day_ahead,Is_price_negative,was_negative_1h_ago,wind_expected,solar_expected,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,hour,weekday,month,hour_sin,hour_cos,residual_load,is_holiday,is_winter,is_summer,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_72h,price_lag_168h,price_lag_336h,price_roll_mean_6h,price_roll_mean_12h,price_roll_mean_24h,price_roll_std_6h,price_roll_std_24h,price_delta_1h,load_lag_24h,DE_load_forecast_entsoe_transparency
2019-07-14 14:00:00+00:00,32.17,0,0.0,6109.7952000000005,11986.0454,20.3,208.9299334,271.2132666,14,6,7,-0.4999999999999998,-0.8660254037844388,31468.0,0,0,1,32.04,32.14,34.04,32.15,33.56,38.64,46.0,12.12,0.02,33.99666666666668,34.30916666666667,35.23708333333333,2.304002314811037,2.534980454721966,0.13000000000000256,50051.0,49197.0
2019-07-14 15:00:00+00:00,34.94,0,0.0,6851.2752,8729.778400000001,19.906,124.84792541,236.26897459,15,6,7,-0.7071067811865471,-0.7071067811865479,34664.0,0,0,1,32.17,32.04,32.14,32.14,34.71,41.91,49.9,25.62,20.05,33.62666666666667,34.5425,35.24666666666666,1.8223025727508837,2.5333354309728455,2.769999999999996,50402.0,49870.0
2019-07-14 16:00:00+00:00,37.84,0,0.0,7582.8688,5672.3674,19.234,50.2815204708,176.761379529,16,6,7,-0.8660254037844384,-0.5000000000000004,37570.0,0,0,1,34.94,32.17,32.04,32.29,36.91,50.9,52.7,29.2,28.83,33.86166666666667,35.005,35.28541666666667,2.2876224921639885,2.5667759834665325,2.9000000000000057,51264.0,50442.0
2019-07-14 17:00:00+00:00,38.97,0,0.0,7661.96,2813.8124,18.361,17.8617462079,105.632153792,17,6,7,-0.9659258262890683,-0.25881904510252063,39652.0,0,0,1,37.84,34.94,32.17,33.92,37.98,53.94,53.39,31.47,36.63,34.683333333333344,35.42583333333334,35.32666666666666,3.1041434674729276,2.6193787293099486,1.1299999999999955,50464.0,49731.0
2019-07-14 18:00:00+00:00,39.91,0,0.0,7563.096,740.7386,17.03,4.19669871826,39.7185012817,18,6,7,-1.0,-1.8369701987210297e-16,40780.0,0,0,1,38.97,37.84,34.94,35.46,37.79,53.92,51.9,31.98,37.94,35.978333333333346,35.79666666666667,35.415,3.4341194892803704,2.7390731533048713,0.9399999999999977,48221.0,48683.0
2019-07-14 19:00:00+00:00,39.05,0,0.0,7251.6744,24.857,15.476,0.0553883172006,1.9271116828,19,6,7,-0.9659258262890684,0.2588190451025203,40996.0,0,0,1,39.91,38.97,37.84,36.92,37.72,48.31,49.04,33.06,37.07,37.146666666666675,35.97416666666667,35.470416666666665,2.990001114825152,2.800500699284264,-0.8599999999999994,46763.0,47865.0
2019-07-14 20:00:00+00:00,43.72,0,0.0,6950.1392000000005,0.0,14.719,0.0,0.0,20,6,7,-0.8660254037844386,0.5,41386.0,0,0,1,39.05,39.91,38.97,37.0,41.2,43.88,47.76,37.02,43.19,39.07166666666668,36.534166666666664,35.57541666666667,2.8603595345089565,3.059890562364614,4.670000000000002,45872.0,47897.0
2019-07-14 21:00:00+00:00,39.11,0,0.0,6658.4904,0.0,14.142,0.0,0.0,21,6,7,-0.7071067811865477,0.7071067811865474,39030.0,0,0,1,43.72,39.05,39.91,37.16,38.17,41.42,40.17,33.02,36.72,39.76666666666667,36.696666666666665,35.614583333333336,2.046505965458326,3.1002944869515057,-4.609999999999999,43172.0,45267.0
2019-07-14 22:00:00+00:00,37.8,0,0.0,5982.119,0.0,13.564,0.0,0.0,22,6,7,-0.5000000000000004,0.8660254037844384,36644.0,0,0,1,39.11,43.72,39.05,36.43,35.85,41.05,38.94,34.93,28.98,39.76000000000001,36.810833333333335,35.69583333333333,2.0540886056813257,3.132120988097788,-1.3100000000000023,40285.0,42228.0
2019-07-14 23:00:00+00:00,36.58,0,0.0,5309.7486,0.0,13.068,0.0,0.0,23,6,7,-0.2588190451025215,0.9659258262890681,36105.0,0,0,1,37.8,39.11,43.72,34.04,35.04,38.38,37.89,30.11,26.23,39.36166666666667,37.0225,35.76,2.4344479182468435,3.1338752229576867,-1.2199999999999989,37662.0,41038.0
